original_path,new_path,format,loadable_now,size_bytes,notes
Sound/Battle.mp3,audio/bgm/battle.mp3,mp3,불가,3344006,
Sound/Dead.mp3,audio/bgm/dead.mp3,mp3,불가,1754926,
Sound/Loading.mp3,audio/bgm/loading.mp3,mp3,불가,1209489,
Sound/Select.mp3,audio/bgm/select.mp3,mp3,불가,1049828,
Sound/Title.mp3,audio/bgm/title.mp3,mp3,불가,957877,
Sound/Victory.mp3,audio/bgm/victory.mp3,mp3,불가,1235820,
Sound/Easteregg/Dead.wav,audio/easter_egg/dead_01.wav,wav,불가,96912,
Sound/Easteregg/Dead2.wav,audio/easter_egg/dead_02.wav,wav,불가,58542,
Sound/Easteregg/Dead3.wav,audio/easter_egg/dead_03.wav,wav,불가,19504,
Sound/Boom_0.ogg,audio/sfx/boom_00.ogg,ogg,불가,159149,
Sound/Boom_1.wav,audio/sfx/boom_01.wav,wav,불가,513680,
Sound/Boom_2.ogg,audio/sfx/boom_02.ogg,ogg,불가,141678,
Sound/Burn.mp3,audio/sfx/burn.mp3,mp3,불가,737048,
Sound/Bush.wav,audio/sfx/bush.wav,wav,불가,407158,
Sound/DeadTankBoom.wav,audio/sfx/dead_tank_boom.wav,wav,불가,250028,
Sound/Fance.wav,audio/sfx/fence.wav,wav,불가,720772,원본 파일명 오타(Fance) 수정
Sound/Move_0.wav,audio/sfx/move_00.wav,wav,불가,4618604,
Sound/Move_1.wav,audio/sfx/move_01.wav,wav,불가,189378,
Sound/Rock_Fance.wav,audio/sfx/rock_fence.wav,wav,불가,882800,원본 파일명 오타(Fance) 수정
Sound/Shot_1.flac,audio/sfx/shot_01.flac,flac,불가,271387,
Sound/Shot_2.flac,audio/sfx/shot_02.flac,flac,불가,182091,
Sound/Shot_3.flac,audio/sfx/shot_03.flac,flac,불가,126551,
Sound/TreeFall_0.wav,audio/sfx/tree_fall.wav,wav,불가,693392,
Sound/System/AITankFound.ogg,audio/voice/ai_tank_found.ogg,ogg,불가,103000,
Sound/System/Defeat.ogg,audio/voice/defeat.ogg,ogg,불가,18121,
Sound/Good_0.ogg,audio/voice/good_00.ogg,ogg,불가,12415,
Sound/Good_1.ogg,audio/voice/good_01.ogg,ogg,불가,11577,
Sound/Good_2.ogg,audio/voice/good_02.ogg,ogg,불가,15382,
Sound/Good_3.ogg,audio/voice/good_03.ogg,ogg,불가,12726,
Sound/System/Start.ogg,audio/voice/start.ogg,ogg,불가,63084,
Sound/System/Win.ogg,audio/voice/win.ogg,ogg,불가,18984,
TextData/Tables/MapLimitTable.csv,data/maps/map_limit.csv,csv,불가,1942,
TextData/Tables/GraphDataTable.csv,data/misc/graph_data.csv,csv,불가,247,
TextData/Tables/Bush01Table.csv,data/placement/battle/bush_01.csv,csv,불가,1002,
TextData/Tables/Fence01Table.csv,data/placement/battle/fence_01.csv,csv,불가,673,
TextData/Tables/Fence02Table.csv,data/placement/battle/fence_02.csv,csv,불가,713,
TextData/Tables/House01Table.csv,data/placement/battle/house_01.csv,csv,불가,262,
TextData/Tables/House02Table.csv,data/placement/battle/house_02.csv,csv,불가,309,
TextData/Tables/House03Table.csv,data/placement/battle/house_03.csv,csv,불가,261,
TextData/Tables/ObjectTable.csv,data/placement/battle/objects.csv,csv,불가,322,
TextData/Tables/Tree01Table.csv,data/placement/battle/tree_01.csv,csv,불가,2141,
TextData/Tables/Tree02Table.csv,data/placement/battle/tree_02.csv,csv,불가,991,
TextData/Tables/SelectScene_Bush01Table.csv,data/placement/select/bush_01.csv,csv,불가,342,
TextData/Tables/SelectScene_Fence01Table.csv,data/placement/select/fence_01.csv,csv,불가,253,
